KIR,HLAgroup,allele
"2DL1","C2",""
"2DL2","C1",""
"3DL1","bw4",""
"2DS1","C2",""
"2DS2","C1",""
"2DS3","C1",""
"3DS1","bw4",""
"2DL2","","C05:01"
"2DL2","","C02:02"
"2DL2","","C05"
"2DL2","","C02"
"2DL2","","B46:01"
"2DL2","","B73:01"
"2DL2","","B46"
"2DL2","","B73"
"3DL1","","A24:02"
"3DL1","","A24:03"
"3DL1","","A24:05"
"3DL1","","A24:07"
"3DL1","","A24:08"
"3DL1","","A24:10"
"3DL1","","A24:14"
"3DL1","","A24:17"
"3DL1","","A24:20"
"3DL1","","A24:22"
"3DL1","","A24:25"
"3DL1","","A24:26"
"3DL1","","A24:58"
"3DL1","","A24"
"3DL2","","A03"
"3DL2","","A11"
"3DL2","","A03:01"
"3DL2","","A03:02"
"3DL2","","A03:05"
"3DL2","","A03:07"
"3DL2","","A11:01"
"3DL2","","A11:02"
"3DL2","","A11:03"
"3DL2","","A11:04"
"3DL2","","A11:05"
"3DL2","","A11:19"
"2DS4","","C05:01"
"2DS4","","C16:01"
"2DS4","","C02:02"
"2DS4","","C05"
"2DS4","","C16"
"2DS4","","C02"
"2DS4","","A11:02"
"2DL3","C1",""
"2DL3","","C05:01"
"2DL3","","C02:02"
"2DL3","","C05"
"2DL3","","C02"
"2DL3","","B46:01"
"2DL3","","B73:01"
"2DL3","","B46"
"2DL3","","B73"
"2DL4","G",""
