hla,allele,bwGroup,exceptions
B,15,,TRUE
#
B,05,Bw4,FALSE
B,13,Bw4,FALSE
B,17,Bw4,FALSE
B,27,Bw4,TRUE
B,37,Bw4,TRUE
B,38,Bw4,FALSE
B,44,Bw4,TRUE
B,47,Bw4,TRUE
B,49,Bw4,FALSE
B,51,Bw4,FALSE
B,52,Bw4,TRUE
B,53,Bw4,TRUE
B,57,Bw4,FALSE
B,58,Bw4,FALSE
B,59,Bw4,FALSE
B,63,Bw4,FALSE
B,77,Bw4,FALSE
#
A,09,Bw4,FALSE
A,23,Bw4,FALSE
A,24,Bw4,FALSE
A,25,Bw4,FALSE
A,32,Bw4,FALSE
#
B,07,Bw6,TRUE
B,08,Bw6,TRUE
B,14,Bw6,FALSE
B,18,Bw6,TRUE
B,22,Bw6,FALSE
B,35,Bw6,TRUE
B,39,Bw6,TRUE
B,40,Bw6,TRUE
B,41,Bw6,TRUE
B,42,Bw6,FALSE
B,45,Bw6,FALSE
B,46,Bw6,FALSE
B,48,Bw6,FALSE
B,50,Bw6,FALSE
B,54,Bw6,FALSE
B,55,Bw6,TRUE
B,56,Bw6,TRUE
B,60,Bw6,FALSE
B,61,Bw6,FALSE
B,62,Bw6,FALSE
B,64,Bw6,FALSE
B,65,Bw6,FALSE
B,67,Bw6,FALSE
B,70,Bw6,FALSE
B,71,Bw6,FALSE
B,72,Bw6,FALSE
B,73,Bw6,FALSE
B,75,Bw6,FALSE
B,76,Bw6,FALSE
B,78,Bw6,FALSE
B,81,Bw6,FALSE
B,82,Bw6,FALSE
B,83,Bw6,FALSE
#### Exceptions ####
B,07:27,Bw4,
B,08:02,Bw4,
B,08:03,Bw4,
B,18:09,Bw4,
B,40:13,Bw4,
B,40:19,Bw4,
B,40:47,Bw4,
B,56:07,Bw4,
#
B,13:09,Bw6,
B,27:08,Bw6,
B,27:12,Bw6,
B,27:18,Bw6,
B,27:26,Bw6,
B,27:33,Bw6,
B,37:11,Bw6,
B,44:09,Bw6,
B,44:46,Bw6,
B,47:02,Bw6,
B,47:03,Bw6,
#
B,07:11,,
B,08:06,,
B,08:17,,
B,35:27,,
B,35:52,,
B,35:56,,
B,37:05,,
B,39:20,,
B,40:37,,
B,41:05,,
B,52:09,,
B,53:05,,
B,55:12,,
#### B-15 ####
B,15:13,Bw4,
B,15:16,Bw4,
B,15:17,Bw4,
B,15:23,Bw4,
B,15:24,Bw4,
B,15:36,Bw4,
B,15:43,Bw4,
B,15:67,Bw4,
B,15:89,Bw4,
B,15:95,Bw4,
#
B,15:01,Bw6,
B,15:02,Bw6,
B,15:03,Bw6,
B,15:04,Bw6,
B,15:05,Bw6,
B,15:06,Bw6,
B,15:07,Bw6,
B,15:08,Bw6,
B,15:09,Bw6,
B,15:10,Bw6,
B,15:11,Bw6,
B,15:12,Bw6,
B,15:14,Bw6,
B,15:15,Bw6,
B,15:18,Bw6,
B,15:19,Bw6,
B,15:20,Bw6,
B,15:21,Bw6,
B,15:22,Bw6,
B,15:25,Bw6,
B,15:26,Bw6,
B,15:27,Bw6,
B,15:28,Bw6,
B,15:29,Bw6,
B,15:30,Bw6,
B,15:31,Bw6,
B,15:32,Bw6,
B,15:33,Bw6,
B,15:34,Bw6,
B,15:35,Bw6,
B,15:37,Bw6,
B,15:38,Bw6,
B,15:39,Bw6,
B,15:40,Bw6,
B,15:42,Bw6,
B,15:44,Bw6,
B,15:45,Bw6,
B,15:46,Bw6,
B,15:47,Bw6,
B,15:48,Bw6,
B,15:49,Bw6,
B,15:50,Bw6,
B,15:51,Bw6,
B,15:52,Bw6,
B,15:53,Bw6,
B,15:54,Bw6,
B,15:55,Bw6,
B,15:56,Bw6,
B,15:58,Bw6,
B,15:59,Bw6,
B,15:60,Bw6,
B,15:61,Bw6,
B,15:62,Bw6,
B,15:63,Bw6,
B,15:64,Bw6,
B,15:65,Bw6,
B,15:66,Bw6,
B,15:68,Bw6,
B,15:69,Bw6,
B,15:70,Bw6,
B,15:71,Bw6,
B,15:72,Bw6,
B,15:73,Bw6,
B,15:74,Bw6,
B,15:75,Bw6,
B,15:76,Bw6,
B,15:77,Bw6,
B,15:78,Bw6,
B,15:79,Bw6,
B,15:80,Bw6,
#
B,15:57,,
B,15:87,,
B,15:94,,
